"...1","...2","...3","...4"
"2.1 [1.8-2.8]","0.3 [0.1-0.5]","1.8 [1.5-2.4]","0.2 [0.1-0.4]"
"0.9 [0.7-1.4]","8.5 [6.4-11.6]","1.5 [1.1-2.1]","5.7 [4.0-7.8]"
"0.8 [0.6-1.1]","0.2 [0.0-0.3]","2.8 [2.2-3.6]","0.1 [0.0-0.3]"
"0.9 [0.6-1.3]","6.8 [5.0-8.7]","1.6 [1.2-2.2]","7.1 [5.3-9.0]"
"1.8 [1.4-2.5]","15.4 [12.3-18.8]","3.1 [2.4-4.1]","12.8 [10.1-15.9]"
"1.7 [1.2-2.3]","7.0 [5.3-8.9]","4.4 [3.6-5.5]","7.2 [5.5-9.1]"
"4.7 [3.9-6.4]","15.8 [12.9-19.1]","7.7 [6.5-9.3]","13.2 [10.6-16.2]"
"100% [100-100%]","13% [3-22%]","84% [80-88%]","10% [2-16%]"
"11% [8-15%]","100% [100-100%]","18% [14-22%]","68% [52-78%]"
"28% [22-36%]","6% [1-11%]","100% [100-100%]","5% [1-10%]"
"12% [9-17%]","97% [93-99%]","23% [19-28%]","100% [100-100%]"
"13% [10-17%]","100% [100-100%]","23% [19-28%]","100% [100-100%]"
"34% [28-43%]","98% [95-100%]","100% [100-100%]","100% [100-100%]"
"87% [83-90%]","11% [3-19%]","73% [69-78%]","8% [2-14%]"
"9% [7-13%]","65% [54-76%]","19% [16-24%]","67% [57-78%]"
"3% [2-5%]","22% [17-27%]","7% [4-9%]","23% [18-29%]"
